circuit,algorithm,input_tcount,output_tcount,total_exec_ms,overall_exec_s,pairs_tested,sketch_filtered,filtered_miss,nullspace_runs,rebuild_count,local_add_count,aa_ms,sketch_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,fail_count,outfile
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa_sketch_13,175,88,1290,1.44436,5763,4896,858,9,706,161,0.119,961.941,302.199,302.199,2.633,84.9558,838.688,83.4661,3802.07,4132.15,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_5_mult_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa_sketch_15,175,88,1705,1.86054,5763,5172,582,9,478,113,0.176,1342.8,325.901,325.901,4.146,89.7449,967.479,84.189,3790.75,3872.64,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_5_mult_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa,252,122,7065,7.46269,7828,,7818,10,6596,1232,0.169,,6984.99,6984.99,4.375,,,,6192.77,10699.8,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_6_mult_lx2_dynamic_repair_chi_packed_aa.out
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa_sketch_5,252,122,6811,7.20899,7828,1681,6137,10,5262,885,0.159,1328.01,5409.2,5409.2,4.17,21.4742,536.146,100.998,6397.7,10183.1,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_6_mult_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa_sketch_8,252,122,3570,3.97192,7828,5456,2362,10,1947,425,0.158,1754.13,1763.1,1763.1,4.176,69.6985,856.603,111.864,6196.91,7993.12,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_6_mult_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa_sketch_10,252,122,3087,3.49846,7828,6529,1289,10,1026,273,0.27,2052.67,962.684,962.684,7,83.4057,1070.6,114.286,6017.27,6813.51,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_6_mult_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa_sketch_13,252,122,2810,3.21792,7828,7172,646,10,487,169,0.172,2381,383.35,383.35,4.273,91.6198,1391.41,116.072,5392.56,5534,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_6_mult_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa_sketch_15,252,122,3192,3.60468,7828,7362,456,10,333,133,0.267,2766.41,358.6,358.6,7.126,94.047,1605.5,116.812,5056.1,4921.94,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_6_mult_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa,343,164,28995,30.0288,19514,,19493,21,16298,3216,0.477,,28680.3,28680.3,15.706,,,,8401.06,13764.2,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_7_mult_lx2_dynamic_repair_chi_packed_aa.out
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa_sketch_5,343,164,30477,31.5272,19514,2350,17143,21,14477,2687,0.803,5002.4,25072.4,25072.4,23.397,12.0426,688.963,127.91,8470.49,13242.4,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_7_mult_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa_sketch_8,343,164,20104,21.1818,19514,9958,9535,21,7690,1866,0.746,7018.9,12756.6,12756.6,22.996,51.03,1101.81,147.283,7784.51,10728.2,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_7_mult_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa_sketch_10,343,164,15223,16.3141,19514,13227,6266,21,4919,1368,0.582,7779.84,7190.63,7190.63,19.513,67.7821,1377.03,152.688,7470.79,9593.65,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_7_mult_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa_sketch_13,343,164,14233,15.3181,19514,15987,3506,21,2677,850,0.758,9578.29,4375.45,4375.45,23.722,81.9258,1789.64,156.846,7052.41,8291.55,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_7_mult_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa_sketch_15,343,164,12965,14.0677,19514,17041,2452,21,1870,603,0.71,10177.6,2536.18,2536.18,22.254,87.327,2065.11,158.421,6970.81,7684.87,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_7_mult_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa,448,220,75885,78.4401,24908,,24892,16,22199,2709,0.606,,75318.8,75318.8,22.253,,,,13475.4,22197.3,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_8_mult_lx2_dynamic_repair_chi_packed_aa.out
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa_sketch_5,448,220,82671,85.2093,24908,1912,22980,16,20682,2314,0.855,12207.2,69808.6,69808.6,31.274,7.67625,1110.7,184.239,13561.7,21829.5,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_8_mult_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa_sketch_8,448,220,38877,41.4967,24908,16282,8610,16,7421,1205,0.724,16628.4,21836.5,21836.5,24.791,65.3686,1776.45,207.341,12538.6,17093.5,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_8_mult_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa_sketch_10,448,220,28657,31.2848,24908,20843,4049,16,3288,777,0.825,19257.7,9018.27,9018.27,28.472,83.6799,2220.35,211.333,11343.9,14133.3,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_8_mult_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa_sketch_13,448,220,26218,28.822,24908,23186,1706,16,1213,509,0.499,22974,3020.37,3020.37,18.407,93.0866,2885.97,213.733,9409.99,10699,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_8_mult_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa_sketch_15,448,220,27408,30.0419,24908,23803,1089,16,713,392,0.671,25412.5,1722.48,1722.48,22.228,95.5637,3330.18,214.583,8450.89,9077.83,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_8_mult_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
grover_5,lx2_dynamic_repair_chi_packed_aa,336,144,126827,357.13,14915,,14906,9,13646,1269,0.705,,125261,125261,83.268,,,,57179.2,92841,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/grover_5_lx2_dynamic_repair_chi_packed_aa.out
grover_5,lx2_dynamic_repair_chi_packed_aa_sketch_5,336,144,111751,341.676,14915,4270,10636,9,9962,683,0.916,17854.4,92665.3,92665.3,100.267,28.6289,4642.57,126.646,61035.6,88376,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/grover_5_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
grover_5,lx2_dynamic_repair_chi_packed_aa_sketch_8,336,144,69180,300.218,14915,9464,5442,9,5058,393,0.788,23423.4,45060.4,45060.4,86.575,63.4529,7427.67,133.984,64507.3,75680.7,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/grover_5_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
grover_5,lx2_dynamic_repair_chi_packed_aa_sketch_10,336,144,54764,284.724,14915,11552,3354,9,3089,274,0.706,27190.9,27074.2,27074.2,86.92,77.4522,9284.6,136.419,66523.1,68239,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/grover_5_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
grover_5,lx2_dynamic_repair_chi_packed_aa_sketch_13,336,144,46851,277.057,14915,13204,1702,9,1543,168,0.692,32608.2,13899.8,13899.8,87.207,88.5283,12070,138.603,68516.6,58827.4,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/grover_5_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
grover_5,lx2_dynamic_repair_chi_packed_aa_sketch_15,336,144,45848,276.452,14915,13792,1114,9,1008,115,0.848,36348,9179.42,9179.42,95.044,92.4707,13926.6,139.543,67244.6,52760.2,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/grover_5_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
hwb6,lx2_dynamic_repair_chi_packed_aa,105,52,2172,2.8251,2714,,2683,31,2017,697,0.855,,2003.02,2003.02,23.415,,,,7939.47,11266.6,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/hwb6_lx2_dynamic_repair_chi_packed_aa.out
hwb6,lx2_dynamic_repair_chi_packed_aa_sketch_5,105,52,798,1.43616,2714,1785,898,31,659,270,0.489,307.018,400.129,400.129,13.911,65.7701,563.963,46.5741,6733.54,6753.4,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/hwb6_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
hwb6,lx2_dynamic_repair_chi_packed_aa_sketch_8,105,52,1215,2.28624,2714,2138,545,31,412,164,0.847,659.158,407.145,407.145,23.671,78.7767,901.96,50.4263,6163.56,5830.89,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/hwb6_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
hwb6,lx2_dynamic_repair_chi_packed_aa_sketch_10,105,52,699,1.3366,2714,2296,387,31,302,116,0.479,438.841,172.511,172.511,13.905,84.5984,1127.2,51.9134,5909.29,5347.76,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/hwb6_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
hwb6,lx2_dynamic_repair_chi_packed_aa_sketch_13,105,52,1238,2.30795,2714,2426,257,31,212,76,0.83,884.503,207.618,207.618,23.645,89.3884,1465.16,53.3371,5570.78,4902.18,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/hwb6_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
hwb6,lx2_dynamic_repair_chi_packed_aa_sketch_15,105,52,1289,2.29722,2714,2489,194,31,172,53,0.841,970.811,172.247,172.247,23.707,91.7097,1690.49,53.9562,5491.5,4810.34,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/hwb6_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
mod5_4,lx2_dynamic_repair_chi_packed_aa,28,16,3,0.005838,120,,120,0,90,30,0.008,,3.489,3.489,0,,,,428.664,639.3,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod5_4_lx2_dynamic_repair_chi_packed_aa.out
mod5_4,lx2_dynamic_repair_chi_packed_aa_sketch_5,28,16,5,0.007965,120,19,101,0,83,18,0.009,1.328,3.789,3.789,0,15.8333,32.6667,7.51667,475.95,651.941,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod5_4_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
mod5_4,lx2_dynamic_repair_chi_packed_aa_sketch_8,28,16,4,0.007316,120,44,76,0,63,13,0.008,1.628,2.899,2.899,0,36.6667,51.5833,9.775,490.373,636.684,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod5_4_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
mod5_4,lx2_dynamic_repair_chi_packed_aa_sketch_10,28,16,3,0.005997,120,59,61,0,52,9,0.008,1.55,2.038,2.038,0,49.1667,64.3833,10.6083,506.167,608.361,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod5_4_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
mod5_4,lx2_dynamic_repair_chi_packed_aa_sketch_13,28,16,3,0.006445,120,80,40,0,36,4,0.009,2.07,1.634,1.634,0,66.6667,83.5333,11.6333,555.846,590.85,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod5_4_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
